t,mag
574.346,1.005
574.366,1.002
574.386,1.005
574.406,0.998
574.426,1.005
574.446,1.000
574.466,1.004
574.486,0.999
574.506,1.007
574.526,1.000
574.546,1.007
574.566,1.000
574.586,1.005
574.606,1.004
574.626,1.006
574.646,0.999
574.666,1.003
574.686,1.003
574.706,1.001
574.726,1.005
574.746,1.003
574.766,1.005
574.786,1.004
574.806,1.004
574.826,1.002
574.846,1.003
574.866,1.001
574.886,1.003
574.906,1.001
574.926,1.000
574.946,0.999
574.966,1.004
574.986,1.005
575.006,1.005
575.026,1.005
575.046,1.000
575.066,1.003
575.086,1.000
575.106,1.004
575.126,1.004
575.146,1.003
575.166,1.002
575.186,1.003
575.206,1.002
575.226,1.000
575.246,1.004
575.266,1.000
575.286,1.002
575.306,1.002
575.326,1.006
575.346,1.001
575.366,1.004
575.386,0.998
575.406,1.003
575.426,1.001
575.446,1.005
575.466,1.003
575.486,1.003
575.506,1.004
575.526,1.003
575.546,1.003
575.566,1.002
575.586,1.004
575.606,1.004
575.626,1.005
575.646,1.001
575.666,1.005
575.686,1.001
575.706,1.006
575.726,1.002
575.746,1.003
575.766,1.002
575.786,1.004
575.806,0.997
575.826,1.005
575.846,0.999
575.866,1.005
575.886,1.001
575.906,1.003
575.926,1.004
575.946,1.003
575.966,1.005
575.986,1.004
576.006,1.004
576.026,1.001
576.046,0.999
576.066,1.001
576.086,1.002
576.106,1.001
576.126,1.004
576.146,1.004
576.166,1.004
576.186,1.009
576.206,0.997
576.226,1.007
576.246,1.003
576.266,1.003
576.286,1.002
576.306,1.005
576.326,1.003
576.346,1.003
576.366,1.001
576.386,1.004
576.406,1.001
576.426,1.003
576.446,1.004
576.466,1.005
576.486,1.004
576.506,0.897
576.526,1.021
576.546,0.825
576.566,1.033
576.586,1.033
576.606,0.983
576.626,1.009
576.646,1.007
576.666,1.104
576.686,1.063
576.706,1.016
576.726,1.021
576.746,0.997
576.766,1.003
576.786,1.000
576.806,0.994
576.826,1.015
576.846,0.991
576.866,1.015
576.886,1.001
576.906,0.995
576.926,1.011
576.946,0.999
576.966,1.013
576.986,0.752
577.006,1.113
577.026,0.953
577.046,0.932
577.066,1.050
577.086,0.958
577.106,1.016
577.126,1.127
577.146,0.979
577.166,1.030
577.186,1.029
577.206,0.970
577.226,1.033
577.246,0.983
577.266,1.001
577.286,1.005
577.306,1.004
577.326,0.995
577.346,1.010
577.366,0.992
577.386,1.003
577.406,0.993
577.426,1.020
577.446,0.988
577.466,1.018
577.486,0.997
577.506,1.015
577.526,0.997
577.546,1.001
577.566,0.998
577.586,1.001
577.606,1.000
577.626,1.007
577.646,1.000
577.666,1.008
577.686,0.998
577.706,1.006
577.726,0.997
577.746,1.009
577.766,1.007
577.786,1.006
577.806,0.998
577.826,1.003
577.846,1.004
577.866,1.004
577.886,1.003
577.906,1.008
577.926,1.006
577.946,0.998
577.966,1.002
577.986,1.002
578.006,1.001
578.026,1.001
578.046,1.004
578.066,1.006
578.086,1.003
578.106,1.002
578.126,1.003
578.146,0.760
578.166,1.124
578.186,0.946
578.206,0.928
578.226,1.067
578.246,1.000
578.266,1.137
578.286,1.004
578.306,1.041
578.326,0.980
578.346,1.014
578.366,0.995
578.386,1.008
578.406,0.984
578.426,1.026
578.446,0.982
578.466,1.034
578.486,0.985
578.506,1.014
578.526,1.000
578.546,1.001
578.566,1.011
578.586,1.010
578.606,1.005
578.626,1.006
578.646,0.994
578.666,1.008
578.686,0.995
578.706,1.011
578.726,0.997
578.746,1.002
578.766,1.007
578.786,1.003
578.806,1.005
578.826,1.002
578.846,1.007
578.866,0.996
578.886,1.006
578.906,0.996
578.926,1.004
578.946,1.005
578.966,1.008
578.986,1.004
579.006,1.005
579.026,1.002
579.046,1.001
579.066,0.998
579.086,1.005
579.106,1.003
579.126,1.007
579.146,1.004
579.166,1.003
579.186,1.004
579.206,1.002
579.226,1.004
579.246,1.002
579.266,1.005
579.286,1.001
579.306,1.000
579.326,1.004
579.346,1.001
579.366,1.005
579.386,1.002
579.406,1.002
579.426,1.000
579.446,1.006
579.466,1.005
579.486,1.005
579.506,1.003
579.526,1.001
579.546,1.003
579.566,0.998
579.586,1.004
579.606,1.003
579.626,1.004
579.646,1.004
579.666,1.006
579.686,1.000
579.706,1.003
579.726,1.000
579.746,1.007
579.766,1.003
579.786,1.003
579.806,1.003
579.826,1.004
579.846,1.000
579.866,1.004
579.886,1.005
579.906,1.006
579.926,1.005
579.946,1.005
579.966,1.001
579.986,1.001
580.006,1.000
580.026,1.003
580.046,1.000
580.066,1.006
580.086,1.003
580.106,1.006
580.126,1.000
580.146,1.000
580.166,1.007
580.186,1.004
580.206,1.000
580.226,1.003
580.246,1.001
580.266,1.003
580.286,1.002
580.306,1.003
580.326,1.004
580.346,1.002
580.366,1.001
580.386,1.003
580.406,1.004
580.426,1.005
580.446,1.004
580.466,1.002
580.486,1.004
580.506,1.002
580.526,1.002
580.546,1.000
580.566,1.003
580.586,1.002
580.606,1.000
580.626,1.006
580.646,1.003
580.666,1.006
580.686,1.003
580.706,1.004
580.726,1.001
580.746,1.002
580.766,1.005
580.786,1.000
580.806,0.994
580.826,1.006
580.846,1.007
580.866,1.002
580.886,1.003
580.906,1.004
580.926,1.002
580.946,0.999
580.966,1.006
580.986,1.002
581.006,1.004
581.026,1.003
581.046,1.002
581.066,1.001
581.086,1.004
581.106,1.002
581.126,1.008
581.146,1.006
581.166,1.001
581.186,1.003
581.206,1.002
581.226,1.002
581.246,1.003
581.266,1.014
581.286,0.998
581.306,1.025
581.326,0.988
581.346,0.978
581.366,1.010
581.386,0.998
581.406,1.003
581.426,1.005
581.446,1.006
581.466,1.006
581.486,1.008
581.506,0.998
581.526,1.016
581.546,0.997
581.566,1.007
581.586,0.998
581.606,1.007
581.626,0.996
581.646,1.007
581.666,1.001
581.686,1.011
581.706,1.013
581.726,1.007
581.746,1.004
581.766,1.003
581.786,1.002
581.806,1.002
581.826,0.999
581.846,1.003
581.866,1.005
581.886,1.004
581.906,1.011
581.926,1.007
581.946,1.004
581.966,1.005
581.986,1.004
582.006,1.004
582.026,1.002
582.046,1.005
582.066,1.006
582.086,1.000
582.106,1.003
582.126,0.999
582.146,1.002
582.166,1.001
582.186,1.002
582.206,1.005
582.226,1.005
582.246,1.002
582.266,1.001
582.286,1.008
582.306,1.000
582.326,1.004
582.346,1.003
582.366,1.003
582.386,1.002
582.406,1.006
582.426,0.999
582.446,1.004
582.466,1.003
582.486,1.000
582.506,1.001
582.526,1.003
582.546,1.000
582.566,1.000
582.586,1.006
582.606,1.005
582.626,1.005
582.646,1.003
582.666,1.004
582.686,1.002
582.706,1.005
582.726,1.005
582.746,1.001
582.766,1.002
582.786,1.005
582.806,1.004
582.826,1.003
582.846,1.005
582.866,1.003
582.886,1.007
582.906,0.998
582.926,1.003
582.946,1.000
582.966,1.006
582.986,1.002
583.006,1.008
583.026,1.004
583.046,1.005
583.066,1.002
583.086,1.003
583.106,1.004
583.126,1.002
583.146,1.002
583.166,1.003
583.186,1.003
583.206,1.002
583.226,1.004
583.246,1.002
583.266,1.005
583.286,1.004
583.306,1.003
583.326,1.003
583.346,1.003
583.366,1.003
583.386,1.004
583.406,1.004
583.426,1.000
583.446,1.006
583.466,1.004
583.486,1.007
583.506,1.002
583.526,1.004
583.546,1.001
583.566,1.004
583.586,1.003
